invoice_details_id,gross_margin_percentage,gross_income,cogs,unit_price,tax_5%,rating,invoice_id,product_line
57,4.761904762,35.84,716.8,89.6,35.84,6.6,635-40-6220,Health and beauty
58,4.761904762,36.175,723.5,72.35,36.175,5.4,817-48-8732,Home and lifestyle
59,4.761904762,9.183,183.66,30.61,9.183,9.3,120-06-4233,Electronic accessories
60,4.761904762,3.711,74.22,24.74,3.711,10.0,285-68-5083,Sports and travel
61,4.761904762,16.719,334.38,55.73,16.719,7.0,803-83-5989,Home and lifestyle
62,4.761904762,24.7815,495.63,55.07,24.7815,10.0,347-34-2234,Sports and travel
63,4.761904762,7.905,158.1,15.81,7.905,8.6,199-75-8169,Sports and travel
64,4.761904762,15.148,302.96,75.74,15.148,7.6,853-23-2453,Health and beauty
65,4.761904762,7.935,158.7,15.87,7.935,5.8,877-22-3308,Health and beauty
66,4.761904762,3.347,66.94,33.47,3.347,6.7,838-78-4295,Health and beauty
67,4.761904762,29.283,585.66,97.61,29.283,9.9,109-28-2512,Fashion accessories
68,4.761904762,39.385,787.7,78.77,39.385,6.4,232-11-3025,Sports and travel
69,4.761904762,0.9165,18.33,18.33,0.9165,4.3,382-03-4532,Health and beauty
70,4.761904762,44.74,894.8,89.48,44.74,9.6,393-65-2792,Food and beverages
71,4.761904762,31.06,621.2,62.12,31.06,5.9,796-12-2025,Fashion accessories
72,4.761904762,7.278,145.56,48.52,7.278,4.0,510-95-6347,Food and beverages
73,4.761904762,22.773,455.46,75.91,22.773,8.7,841-35-6630,Electronic accessories
74,4.761904762,33.6015,672.03,74.67,33.6015,9.4,287-21-9091,Home and lifestyle
75,4.761904762,20.825,416.5,41.65,20.825,5.4,732-94-0499,Electronic accessories
76,4.761904762,22.068,441.36,49.04,22.068,8.6,263-10-3913,Fashion accessories
77,4.761904762,9.0045,180.09,20.01,9.0045,5.7,381-20-0914,Fashion accessories
78,4.761904762,39.155,783.1,78.31,39.155,6.6,829-49-1914,Food and beverages
79,4.761904762,5.095,101.9,20.38,5.095,6.0,756-01-7507,Health and beauty
80,4.761904762,29.757,595.14,99.19,29.757,5.5,870-72-4431,Health and beauty
81,4.761904762,14.502,290.04,96.68,14.502,6.4,847-38-7188,Food and beverages
82,4.761904762,7.7,154.0,19.25,7.7,6.6,480-63-2856,Food and beverages
83,4.761904762,16.072,321.44,80.36,16.072,8.3,787-56-0757,Food and beverages
84,4.761904762,12.2275,244.55,48.91,12.2275,6.6,360-39-5055,Sports and travel
85,4.761904762,29.071,581.42,83.06,29.071,4.0,730-50-9884,Sports and travel
86,4.761904762,19.13,382.6,76.52,19.13,9.9,362-58-8315,Fashion accessories
87,4.761904762,17.283,345.66,49.38,17.283,7.3,633-44-8566,Food and beverages
88,4.761904762,2.1235,42.47,42.47,2.1235,5.7,504-35-8843,Sports and travel
89,4.761904762,23.097,461.94,76.99,23.097,6.1,318-68-5053,Health and beauty
90,4.761904762,9.476,189.52,47.38,9.476,7.1,565-80-5980,Home and lifestyle
91,4.761904762,22.43,448.6,44.86,22.43,8.2,225-32-0908,Sports and travel
92,4.761904762,7.693,153.86,21.98,7.693,5.1,873-51-0671,Sports and travel
93,4.761904762,28.962,579.24,64.36,28.962,8.6,152-08-9985,Health and beauty
94,4.761904762,4.4875,89.75,89.75,4.4875,6.6,512-91-0811,Health and beauty
95,4.761904762,4.858,97.16,97.16,4.858,7.2,594-34-4444,Electronic accessories
96,4.761904762,43.935,878.7,87.87,43.935,5.1,766-85-7061,Health and beauty
97,4.761904762,3.735,74.7,12.45,3.735,4.1,871-39-9221,Electronic accessories
98,4.761904762,7.9125,158.25,52.75,7.9125,9.3,865-92-6136,Food and beverages
99,4.761904762,24.81,496.2,82.7,24.81,7.4,733-01-9107,Home and lifestyle
100,4.761904762,2.4355,48.71,48.71,2.4355,4.1,163-56-7055,Fashion accessories
101,4.761904762,35.3475,706.95,78.55,35.3475,7.2,189-98-2939,Fashion accessories
102,4.761904762,10.3815,207.63,23.07,10.3815,4.9,551-21-3069,Electronic accessories
103,4.761904762,17.478,349.56,58.26,17.478,9.9,212-62-1842,Food and beverages
104,4.761904762,10.6225,212.45,30.35,10.6225,8.0,716-39-1409,Health and beauty
105,4.761904762,44.335,886.7,88.67,44.335,7.3,704-48-3927,Electronic accessories
106,4.761904762,8.214,164.28,27.38,8.214,7.9,628-34-3388,Fashion accessories
107,4.761904762,18.639,372.78,62.13,18.639,7.4,630-74-5166,Sports and travel
108,4.761904762,15.291,305.82,33.98,15.291,4.2,588-01-7461,Food and beverages
109,4.761904762,40.985,819.7,81.97,40.985,9.2,861-77-0145,Electronic accessories
110,4.761904762,1.649,32.98,16.49,1.649,4.6,479-26-8945,Sports and travel
111,4.761904762,14.7315,294.63,98.21,14.7315,7.8,210-67-5886,Health and beauty
112,4.761904762,25.494,509.88,72.84,25.494,8.4,227-78-1148,Fashion accessories
113,4.761904762,26.1315,522.63,58.07,26.1315,4.3,645-44-1170,Home and lifestyle
114,4.761904762,36.3555,727.11,80.79,36.3555,9.5,237-01-6122,Home and lifestyle
115,4.761904762,4.053,81.06,27.02,4.053,7.1,225-98-1496,Fashion accessories
116,4.761904762,5.485,109.7,21.94,5.485,5.3,291-32-1427,Fashion accessories
117,4.761904762,2.568,51.36,51.36,2.568,5.2,659-65-8956,Fashion accessories
118,4.761904762,5.48,109.6,10.96,5.48,6.0,642-32-2990,Food and beverages
119,4.761904762,5.344,106.88,53.44,5.344,4.1,378-24-2715,Home and lifestyle
120,4.761904762,39.824,796.48,99.56,39.824,5.2,638-60-7125,Electronic accessories
121,4.761904762,19.992,399.84,57.12,19.992,6.5,659-36-1684,Sports and travel
122,4.761904762,44.982,899.64,99.96,44.982,4.2,219-22-9386,Sports and travel
123,4.761904762,25.564,511.28,63.91,25.564,4.6,336-78-2147,Home and lifestyle
124,4.761904762,22.588,451.76,56.47,22.588,7.3,268-27-6179,Fashion accessories
125,4.761904762,32.7915,655.83,93.69,32.7915,4.5,668-90-8900,Home and lifestyle
126,4.761904762,8.0625,161.25,32.25,8.0625,9.0,870-54-3162,Sports and travel
127,4.761904762,14.2785,285.57,31.73,14.2785,5.9,189-08-9157,Fashion accessories
128,4.761904762,27.416,548.32,68.54,27.416,8.5,663-86-9076,Food and beverages
129,4.761904762,40.626,812.52,90.28,40.626,7.2,549-84-7482,Sports and travel
130,4.761904762,13.867,277.34,39.62,13.867,7.5,191-10-6171,Fashion accessories
131,4.761904762,27.639,552.78,92.13,27.639,8.3,802-70-5316,Sports and travel
132,4.761904762,6.968,139.36,34.84,6.968,7.4,695-51-0018,Sports and travel
133,4.761904762,26.235,524.7,87.45,26.235,8.8,590-83-4591,Electronic accessories
134,4.761904762,24.39,487.8,81.3,24.39,5.3,483-71-1164,Health and beauty
135,4.761904762,13.533,270.66,90.22,13.533,6.2,597-78-7908,Fashion accessories
136,4.761904762,6.5775,131.55,26.31,6.5775,8.8,700-81-1757,Electronic accessories
137,4.761904762,10.326,206.52,34.42,10.326,9.8,354-39-5160,Home and lifestyle
138,4.761904762,25.955,519.1,51.91,25.955,8.2,241-72-9525,Sports and travel
139,4.761904762,29.0,580.0,72.5,29.0,9.2,575-30-8091,Sports and travel
140,4.761904762,44.9,898.0,89.8,44.9,5.4,731-81-9469,Sports and travel
141,4.761904762,45.25,905.0,90.5,45.25,8.1,280-17-4359,Health and beauty
142,4.761904762,34.3,686.0,68.6,34.3,9.1,338-65-2210,Health and beauty
143,4.761904762,1.5205,30.41,30.41,1.5205,8.4,488-25-4221,Food and beverages
144,4.761904762,23.385,467.7,77.95,23.385,8.0,239-10-7476,Home and lifestyle
145,4.761904762,13.878,277.56,46.26,13.878,9.5,458-41-1477,Health and beauty
146,4.761904762,15.07,301.4,30.14,15.07,9.2,685-64-1609,Fashion accessories
147,4.761904762,13.228,264.56,66.14,13.228,5.6,568-90-5112,Health and beauty
148,4.761904762,28.744,574.88,71.86,28.744,6.2,262-47-2794,Home and lifestyle
149,4.761904762,12.984,259.68,32.46,12.984,4.9,238-49-0436,Health and beauty
150,4.761904762,18.308,366.16,91.54,18.308,4.8,608-96-3517,Fashion accessories
151,4.761904762,12.096,241.92,34.56,12.096,7.3,584-86-7256,Sports and travel
152,4.761904762,37.458,749.16,83.24,37.458,7.4,746-94-0204,Fashion accessories
153,4.761904762,4.944,98.88,16.48,4.944,9.9,214-17-6927,Food and beverages
154,4.761904762,32.388,647.76,80.97,32.388,9.3,400-89-4171,Sports and travel
155,4.761904762,23.0725,461.45,92.29,23.0725,9.0,782-95-9291,Food and beverages
156,4.761904762,3.6085,72.17,72.17,3.6085,6.1,279-74-2924,Electronic accessories
157,4.761904762,12.57,251.4,50.28,12.57,9.7,307-85-2293,Home and lifestyle
158,4.761904762,43.749,874.98,97.22,43.749,6.0,743-04-1105,Health and beauty
159,4.761904762,28.017,560.34,93.39,28.017,10.0,423-57-2993,Sports and travel
160,4.761904762,17.272,345.44,43.18,17.272,8.3,894-41-5205,Food and beverages
161,4.761904762,3.1845,63.69,63.69,3.1845,6.0,275-28-0149,Sports and travel
162,4.761904762,16.0265,320.53,45.79,16.0265,7.0,101-17-6199,Food and beverages
163,4.761904762,7.64,152.8,76.4,7.64,6.5,423-80-0988,Sports and travel
164,4.761904762,19.95,399.0,39.9,19.95,5.9,548-46-9322,Food and beverages
165,4.761904762,17.028,340.56,42.57,17.028,5.6,505-02-0892,Health and beauty
166,4.761904762,47.79,955.8,95.58,47.79,4.8,234-65-2137,Home and lifestyle
167,4.761904762,49.49,989.8,98.98,49.49,8.7,687-47-8271,Fashion accessories
168,4.761904762,15.384,307.68,51.28,15.384,6.5,796-32-9050,Food and beverages
169,4.761904762,24.332,486.64,69.52,24.332,8.5,105-31-1824,Sports and travel
170,4.761904762,17.5025,350.05,70.01,17.5025,5.5,249-42-3782,Health and beauty
171,4.761904762,20.0125,400.25,80.05,20.0125,9.4,316-55-4634,Food and beverages
172,4.761904762,8.34,166.8,20.85,8.34,6.3,733-33-4967,Electronic accessories
173,4.761904762,15.867,317.34,52.89,15.867,9.8,608-27-6295,Electronic accessories
174,4.761904762,7.916,158.32,19.79,7.916,8.7,414-12-7047,Food and beverages
175,4.761904762,15.228,304.56,33.84,15.228,8.8,827-26-2100,Home and lifestyle
176,4.761904762,8.868,177.36,22.17,8.868,9.6,175-54-2529,Food and beverages
177,4.761904762,7.8785,157.57,22.51,7.8785,4.8,139-52-2867,Fashion accessories
178,4.761904762,22.164,443.28,73.88,22.164,4.4,407-63-8975,Food and beverages
179,4.761904762,13.02,260.4,86.8,13.02,9.9,342-65-4817,Health and beauty
180,4.761904762,22.491,449.82,64.26,22.491,5.7,130-98-8941,Fashion accessories
181,4.761904762,15.388,307.76,38.47,15.388,7.7,434-83-9547,Food and beverages
182,4.761904762,7.75,155.0,15.5,7.75,8.0,851-28-6367,Sports and travel
183,4.761904762,13.724,274.48,34.31,13.724,5.7,824-88-3614,Health and beauty
184,4.761904762,4.319,86.38,12.34,4.319,6.7,586-25-0848,Sports and travel
185,4.761904762,2.712,54.24,18.08,2.712,8.0,895-66-0685,Food and beverages
186,4.761904762,37.796,755.92,94.49,37.796,7.5,305-14-0245,Home and lifestyle
187,4.761904762,9.294,185.88,46.47,9.294,7.0,732-04-5373,Home and lifestyle
188,4.761904762,3.7035,74.07,74.07,3.7035,9.9,400-60-7251,Home and lifestyle
189,4.761904762,13.962,279.24,69.81,13.962,5.9,593-65-1552,Home and lifestyle
190,4.761904762,11.556,231.12,77.04,11.556,7.2,284-34-9626,Home and lifestyle
191,4.761904762,7.352,147.04,73.52,7.352,4.6,437-58-8131,Fashion accessories
192,4.761904762,39.51,790.2,87.8,39.51,9.2,286-43-6208,Food and beverages
193,4.761904762,5.11,102.2,25.55,5.11,5.7,641-43-2399,Home and lifestyle
194,4.761904762,8.1775,163.55,32.71,8.1775,9.9,831-07-6050,Electronic accessories
195,4.761904762,3.7145,74.29,74.29,3.7145,5.0,556-86-3144,Fashion accessories
196,4.761904762,4.37,87.4,43.7,4.37,4.9,848-24-9445,Health and beauty
197,4.761904762,1.2645,25.29,25.29,1.2645,6.1,856-22-8149,Home and lifestyle
198,4.761904762,8.3,166.0,41.5,8.3,8.2,699-01-4164,Health and beauty
199,4.761904762,17.8475,356.95,71.39,17.8475,5.5,420-11-4919,Food and beverages
200,4.761904762,5.745,114.9,19.15,5.745,6.8,606-80-4905,Sports and travel
201,4.761904762,11.498,229.96,57.49,11.498,6.6,542-41-0513,Electronic accessories
202,4.761904762,21.4935,429.87,61.41,21.4935,9.8,426-39-2418,Electronic accessories
203,4.761904762,12.95,259.0,25.9,12.95,8.7,875-46-5808,Health and beauty
204,4.761904762,4.4425,88.85,17.77,4.4425,5.4,394-43-4238,Home and lifestyle
205,4.761904762,10.3635,207.27,23.03,10.3635,7.9,749-24-1565,Health and beauty
206,4.761904762,29.9925,599.85,66.65,29.9925,9.7,672-51-8681,Electronic accessories
207,4.761904762,14.265,285.3,28.53,14.265,7.8,263-87-5680,Home and lifestyle
208,4.761904762,4.5555,91.11,30.37,4.5555,5.1,573-58-9734,Fashion accessories
209,4.761904762,44.8785,897.57,99.73,44.8785,6.5,817-69-8206,Electronic accessories
210,4.761904762,11.8035,236.07,26.23,11.8035,5.9,888-02-0338,Electronic accessories
211,4.761904762,41.967,839.34,93.26,41.967,8.8,677-11-0152,Food and beverages
212,4.761904762,23.09,461.8,92.36,23.09,4.9,142-63-6033,Home and lifestyle
213,4.761904762,6.963,139.26,46.42,6.963,4.4,656-16-1063,Sports and travel
214,4.761904762,10.3635,207.27,29.61,10.3635,6.5,891-58-8335,Sports and travel
215,4.761904762,0.914,18.28,18.28,0.914,8.3,802-43-8934,Home and lifestyle
216,4.761904762,6.1925,123.85,24.77,6.1925,8.5,560-30-5617,Sports and travel
217,4.761904762,14.196,283.92,94.64,14.196,5.5,319-74-2561,Electronic accessories
218,4.761904762,37.948,758.96,94.87,37.948,8.7,549-03-9315,Fashion accessories
219,4.761904762,8.601,172.02,57.34,8.601,7.9,790-29-1172,Food and beverages
220,4.761904762,13.605,272.1,45.35,13.605,6.1,239-36-3640,Electronic accessories
221,4.761904762,21.728,434.56,62.08,21.728,5.4,468-01-2051,Food and beverages
222,4.761904762,2.9525,59.05,11.81,2.9525,9.4,389-25-3394,Electronic accessories
223,4.761904762,0.627,12.54,12.54,0.627,8.2,279-62-1445,Fashion accessories
224,4.761904762,4.325,86.5,43.25,4.325,6.2,213-72-6612,Food and beverages
225,4.761904762,8.716,174.32,87.16,8.716,9.7,746-68-6593,Sports and travel
226,4.761904762,31.2165,624.33,69.37,31.2165,4.0,836-82-5858,Health and beauty
227,4.761904762,7.412,148.24,37.06,7.412,9.7,583-72-1480,Electronic accessories
228,4.761904762,27.21,544.2,90.7,27.21,5.3,466-61-5506,Electronic accessories
229,4.761904762,25.368,507.36,63.42,25.368,7.4,721-86-6247,Home and lifestyle
230,4.761904762,8.137,162.74,81.37,8.137,6.5,289-65-5721,Fashion accessories
231,4.761904762,1.5885,31.77,10.59,1.5885,8.7,545-46-3100,Electronic accessories
232,4.761904762,37.8405,756.81,84.09,37.8405,8.0,418-02-5978,Health and beauty
233,4.761904762,14.764,295.28,73.82,14.764,6.7,269-04-5750,Fashion accessories
234,4.761904762,25.97,519.4,51.94,25.97,6.5,157-13-5295,Health and beauty
235,4.761904762,9.314,186.28,93.14,9.314,4.1,645-78-8093,Sports and travel
236,4.761904762,4.3525,87.05,17.41,4.3525,4.9,211-30-9270,Health and beauty
237,4.761904762,11.055,221.1,44.22,11.055,8.6,755-12-3214,Fashion accessories
238,4.761904762,3.305,66.1,13.22,3.305,4.3,346-84-3103,Electronic accessories
239,4.761904762,4.4845,89.69,89.69,4.4845,4.9,478-06-7835,Fashion accessories
240,4.761904762,11.223,224.46,24.94,11.223,5.6,540-11-4336,Food and beverages
241,4.761904762,5.977,119.54,59.77,5.977,5.8,448-81-5016,Health and beauty
242,4.761904762,9.32,186.4,93.2,9.32,6.0,142-72-4741,Fashion accessories
243,4.761904762,12.53,250.6,62.65,12.53,4.2,217-58-1179,Home and lifestyle
244,4.761904762,37.548,750.96,93.87,37.548,8.3,376-02-8238,Home and lifestyle
245,4.761904762,19.036,380.72,47.59,19.036,5.7,530-90-9855,Home and lifestyle
246,4.761904762,12.21,244.2,81.4,12.21,4.8,866-05-7563,Electronic accessories
247,4.761904762,4.485,89.7,17.94,4.485,6.8,604-70-6476,Fashion accessories
248,4.761904762,15.544,310.88,77.72,15.544,8.8,799-71-1548,Electronic accessories
249,4.761904762,25.571,511.42,73.06,25.571,4.2,785-13-7708,Food and beverages
250,4.761904762,20.9475,418.95,46.55,20.9475,6.4,845-51-0542,Food and beverages
251,4.761904762,17.595,351.9,35.19,17.595,8.4,662-47-5456,Fashion accessories
252,4.761904762,1.439,28.78,14.39,1.439,7.2,883-17-4236,Sports and travel
253,4.761904762,4.75,95.0,23.75,4.75,5.2,290-68-2984,Home and lifestyle
254,4.761904762,23.56,471.2,58.9,23.56,8.9,704-11-6354,Home and lifestyle
255,4.761904762,6.524,130.48,32.62,6.524,9.0,110-48-7033,Fashion accessories
256,4.761904762,3.3175,66.35,66.35,3.3175,9.7,366-93-0948,Electronic accessories
257,4.761904762,7.773,155.46,25.91,7.773,8.7,729-09-9681,Home and lifestyle
258,4.761904762,6.45,129.0,32.25,6.45,6.5,151-16-1484,Electronic accessories
259,4.761904762,13.188,263.76,65.94,13.188,6.9,380-94-4661,Electronic accessories
260,4.761904762,33.777,675.54,75.06,33.777,6.2,850-41-9669,Electronic accessories
261,4.761904762,3.29,65.8,16.45,3.29,5.6,821-07-3596,Fashion accessories
262,4.761904762,7.66,153.2,38.3,7.66,5.7,655-85-5130,Fashion accessories
263,4.761904762,11.12,222.4,22.24,11.12,4.2,447-15-7839,Sports and travel
264,4.761904762,2.7225,54.45,54.45,2.7225,7.9,154-74-7179,Sports and travel
265,4.761904762,34.44,688.8,98.4,34.44,8.7,253-12-6086,Sports and travel
266,4.761904762,7.094,141.88,35.47,7.094,6.9,808-65-0703,Home and lifestyle
267,4.761904762,37.3,746.0,74.6,37.3,9.5,571-94-0759,Food and beverages
268,4.761904762,14.148,282.96,70.74,14.148,4.4,144-51-6085,Home and lifestyle
269,4.761904762,17.77,355.4,35.54,17.77,7.0,731-14-2199,Home and lifestyle
270,4.761904762,16.8575,337.15,67.43,16.8575,6.3,783-09-1637,Sports and travel
271,4.761904762,2.112,42.24,21.12,2.112,9.7,687-15-1097,Health and beauty
272,4.761904762,9.693,193.86,21.54,9.693,8.8,126-54-1082,Home and lifestyle
273,4.761904762,1.203,24.06,12.03,1.203,5.1,633-91-1052,Home and lifestyle
274,4.761904762,29.913,598.26,99.71,29.913,7.9,477-24-6490,Health and beauty
275,4.761904762,16.7895,335.79,47.97,16.7895,6.2,566-19-5475,Fashion accessories
276,4.761904762,10.91,218.2,21.82,10.91,7.1,526-86-8552,Home and lifestyle
277,4.761904762,19.084,381.68,95.42,19.084,6.4,376-56-3573,Fashion accessories
278,4.761904762,35.495,709.9,70.99,35.495,5.7,537-72-0426,Fashion accessories
279,4.761904762,22.01,440.2,44.02,22.01,9.6,828-61-5674,Sports and travel
280,4.761904762,27.984,559.68,69.96,27.984,6.4,136-08-6195,Home and lifestyle
281,4.761904762,1.85,37.0,37.0,1.85,7.9,523-38-0215,Home and lifestyle
282,4.761904762,0.767,15.34,15.34,0.767,6.5,490-29-1201,Sports and travel
283,4.761904762,29.949,598.98,99.83,29.949,8.5,667-92-0055,Health and beauty
284,4.761904762,9.534,190.68,47.67,9.534,9.1,565-17-3836,Health and beauty
285,4.761904762,16.67,333.4,66.68,16.67,7.6,498-41-1961,Health and beauty
286,4.761904762,3.743,74.86,74.86,3.743,6.9,593-95-4461,Home and lifestyle
287,4.761904762,10.6875,213.75,23.75,10.6875,9.5,226-71-3580,Sports and travel
288,4.761904762,16.9785,339.57,48.51,16.9785,5.2,283-79-9594,Food and beverages
289,4.761904762,33.208,664.16,94.88,33.208,4.2,430-60-3493,Home and lifestyle
290,4.761904762,20.15,403.0,40.3,20.15,7.0,139-20-0155,Electronic accessories
291,4.761904762,9.7475,194.95,27.85,9.7475,6.0,558-80-4082,Electronic accessories
292,4.761904762,3.124,62.48,62.48,3.124,4.7,278-97-7759,Electronic accessories
293,4.761904762,3.636,72.72,36.36,3.636,7.1,316-68-6352,Food and beverages
294,4.761904762,9.055,181.1,18.11,9.055,5.9,585-03-5943,Health and beauty
295,4.761904762,12.98,259.6,51.92,12.98,7.5,211-05-0490,Electronic accessories
296,4.761904762,5.768,115.36,28.84,5.768,6.4,727-75-6477,Electronic accessories
297,4.761904762,23.514,470.28,78.38,23.514,5.8,744-02-5987,Home and lifestyle
298,4.761904762,12.002,240.04,60.01,12.002,4.5,307-83-9164,Home and lifestyle
299,4.761904762,4.4305,88.61,88.61,4.4305,7.7,779-06-0012,Home and lifestyle
300,4.761904762,9.982,199.64,99.82,9.982,6.7,446-47-6729,Fashion accessories
301,4.761904762,1.9505,39.01,39.01,1.9505,4.7,573-10-3877,Health and beauty
302,4.761904762,2.4305,48.61,48.61,2.4305,4.4,735-06-4124,Food and beverages
303,4.761904762,10.238,204.76,51.19,10.238,4.7,439-54-7422,Electronic accessories
304,4.761904762,5.984,119.68,14.96,5.984,8.6,396-90-2219,Electronic accessories
305,4.761904762,25.27,505.4,72.2,25.27,4.3,411-77-0180,Electronic accessories
306,4.761904762,14.0805,281.61,40.23,14.0805,9.6,286-01-5402,Sports and travel
307,4.761904762,35.516,710.32,88.79,35.516,4.1,803-17-8013,Home and lifestyle
308,4.761904762,3.972,79.44,26.48,3.972,4.7,512-98-1403,Electronic accessories
309,4.761904762,8.191,163.82,81.91,8.191,7.8,848-42-2560,Fashion accessories
310,4.761904762,23.979,479.58,79.93,23.979,5.5,532-59-7201,Sports and travel
311,4.761904762,6.933,138.66,69.33,6.933,9.7,181-94-6432,Fashion accessories
312,4.761904762,3.5575,71.15,14.23,3.5575,4.4,870-76-1733,Food and beverages
313,4.761904762,6.9975,139.95,15.55,6.9975,5.0,423-64-4619,Health and beauty
314,4.761904762,39.065,781.3,78.13,39.065,4.4,227-07-4446,Electronic accessories
315,4.761904762,9.937,198.74,99.37,9.937,5.2,174-36-3675,Food and beverages
316,4.761904762,3.162,63.24,21.08,3.162,7.3,428-83-5800,Food and beverages
317,4.761904762,18.6975,373.95,74.79,18.6975,4.9,603-07-0961,Electronic accessories
318,4.761904762,10.3845,207.69,29.67,10.3845,8.1,704-20-4138,Health and beauty
319,4.761904762,8.814,176.28,44.07,8.814,8.4,787-15-1757,Health and beauty
320,4.761904762,10.3185,206.37,22.93,10.3185,5.5,649-11-3678,Food and beverages
