customer_id,invoice_id,date,time,quantity,total,payment,customer_type,product_line,branch_name,unit_price
74,287-21-9091,1/22/2019,10:55,9,705.6315,Ewallet,Normal,Home and lifestyle,A,74.67
75,732-94-0499,1/13/2019,17:04,10,437.325,Credit card,Normal,Electronic accessories,C,41.65
76,263-10-3913,1/9/2019,14:20,9,463.428,Credit card,Member,Fashion accessories,C,49.04
77,381-20-0914,1/12/2019,15:48,9,189.0945,Credit card,Member,Fashion accessories,A,20.01
78,829-49-1914,3/5/2019,16:24,10,822.255,Ewallet,Member,Food and beverages,C,78.31
79,756-01-7507,1/22/2019,18:56,5,106.995,Cash,Normal,Health and beauty,C,20.38
80,870-72-4431,1/21/2019,14:42,6,624.897,Credit card,Normal,Health and beauty,C,99.19
81,847-38-7188,1/26/2019,19:56,3,304.542,Ewallet,Normal,Food and beverages,B,96.68
82,480-63-2856,1/23/2019,18:37,8,161.7,Ewallet,Normal,Food and beverages,C,19.25
83,787-56-0757,2/23/2019,18:45,4,337.512,Credit card,Member,Food and beverages,C,80.36
84,360-39-5055,3/9/2019,10:17,5,256.7775,Cash,Member,Sports and travel,C,48.91
85,730-50-9884,3/5/2019,14:31,7,610.491,Ewallet,Normal,Sports and travel,C,83.06
86,362-58-8315,3/25/2019,10:23,5,401.73,Cash,Normal,Fashion accessories,C,76.52
87,633-44-8566,3/27/2019,20:35,7,362.943,Credit card,Member,Food and beverages,A,49.38
88,504-35-8843,1/2/2019,16:57,1,44.5935,Cash,Normal,Sports and travel,A,42.47
89,318-68-5053,2/27/2019,17:55,6,485.037,Cash,Normal,Health and beauty,B,76.99
90,565-80-5980,1/23/2019,10:25,4,198.996,Cash,Member,Home and lifestyle,C,47.38
91,225-32-0908,1/26/2019,19:54,10,471.03,Ewallet,Normal,Sports and travel,C,44.86
92,873-51-0671,1/10/2019,16:42,7,161.553,Ewallet,Member,Sports and travel,A,21.98
93,152-08-9985,3/12/2019,12:09,9,608.202,Credit card,Member,Health and beauty,B,64.36
94,512-91-0811,2/6/2019,20:05,1,94.2375,Credit card,Normal,Health and beauty,C,89.75
95,594-34-4444,3/8/2019,20:38,1,102.018,Ewallet,Normal,Electronic accessories,A,97.16
96,766-85-7061,3/29/2019,10:25,10,922.635,Ewallet,Normal,Health and beauty,B,87.87
97,871-39-9221,2/9/2019,13:11,6,78.435,Cash,Normal,Electronic accessories,C,12.45
98,865-92-6136,3/23/2019,10:16,3,166.1625,Ewallet,Normal,Food and beverages,A,52.75
99,733-01-9107,3/5/2019,18:14,6,521.01,Cash,Normal,Home and lifestyle,B,82.7
100,163-56-7055,3/26/2019,19:20,1,51.1455,Cash,Member,Fashion accessories,C,48.71
101,189-98-2939,3/1/2019,13:22,9,742.2975,Cash,Normal,Fashion accessories,C,78.55
102,551-21-3069,2/1/2019,11:27,9,218.0115,Cash,Normal,Electronic accessories,C,23.07
103,212-62-1842,3/28/2019,16:44,6,367.038,Cash,Normal,Food and beverages,A,58.26
104,716-39-1409,3/19/2019,18:19,7,223.0725,Cash,Normal,Health and beauty,B,30.35
105,704-48-3927,1/12/2019,14:50,10,931.035,Ewallet,Member,Electronic accessories,A,88.67
106,628-34-3388,1/5/2019,20:54,6,172.494,Credit card,Normal,Fashion accessories,C,27.38
107,630-74-5166,3/22/2019,20:19,6,391.419,Cash,Normal,Sports and travel,A,62.13
108,588-01-7461,3/24/2019,10:43,9,321.111,Cash,Normal,Food and beverages,C,33.98
109,861-77-0145,3/3/2019,14:30,10,860.685,Cash,Member,Electronic accessories,C,81.97
110,479-26-8945,2/5/2019,11:32,2,34.629,Ewallet,Member,Sports and travel,B,16.49
111,210-67-5886,2/5/2019,10:41,3,309.3615,Credit card,Member,Health and beauty,C,98.21
112,227-78-1148,2/15/2019,12:44,7,535.374,Cash,Normal,Fashion accessories,B,72.84
113,645-44-1170,1/19/2019,20:07,9,548.7615,Ewallet,Member,Home and lifestyle,A,58.07
114,237-01-6122,2/1/2019,20:31,9,763.4655,Credit card,Member,Home and lifestyle,C,80.79
115,225-98-1496,3/2/2019,13:01,3,85.113,Credit card,Normal,Fashion accessories,C,27.02
116,291-32-1427,3/5/2019,12:29,5,115.185,Ewallet,Member,Fashion accessories,B,21.94
117,659-65-8956,1/16/2019,15:26,1,53.928,Ewallet,Member,Fashion accessories,B,51.36
118,642-32-2990,2/2/2019,20:48,10,115.08,Ewallet,Normal,Food and beverages,A,10.96
119,378-24-2715,1/20/2019,20:38,2,112.224,Ewallet,Normal,Home and lifestyle,B,53.44
120,638-60-7125,2/14/2019,17:03,8,836.304,Credit card,Normal,Electronic accessories,A,99.56
121,659-36-1684,1/12/2019,12:02,7,419.832,Credit card,Member,Sports and travel,C,57.12
122,219-22-9386,3/9/2019,17:26,9,944.622,Credit card,Member,Sports and travel,B,99.96
123,336-78-2147,3/13/2019,19:52,8,536.844,Credit card,Member,Home and lifestyle,C,63.91
124,268-27-6179,3/9/2019,14:57,8,474.348,Ewallet,Member,Fashion accessories,B,56.47
125,668-90-8900,3/10/2019,18:44,7,688.6215,Credit card,Normal,Home and lifestyle,A,93.69
126,870-54-3162,1/27/2019,13:26,5,169.3125,Cash,Normal,Sports and travel,A,32.25
127,189-08-9157,1/8/2019,16:17,9,299.8485,Credit card,Normal,Fashion accessories,C,31.73
128,663-86-9076,1/8/2019,15:57,8,575.736,Ewallet,Member,Food and beverages,C,68.54
129,549-84-7482,2/8/2019,11:15,9,853.146,Ewallet,Normal,Sports and travel,B,90.28
130,191-10-6171,1/25/2019,13:18,7,291.207,Cash,Normal,Fashion accessories,B,39.62
131,802-70-5316,3/6/2019,20:34,6,580.419,Cash,Member,Sports and travel,A,92.13
132,695-51-0018,2/10/2019,18:36,4,146.328,Cash,Normal,Sports and travel,B,34.84
133,590-83-4591,2/17/2019,14:40,6,550.935,Credit card,Member,Electronic accessories,B,87.45
134,483-71-1164,3/8/2019,16:43,6,512.19,Ewallet,Normal,Health and beauty,C,81.3
135,597-78-7908,2/18/2019,19:39,3,284.193,Cash,Normal,Fashion accessories,C,90.22
136,700-81-1757,1/18/2019,20:59,5,138.1275,Credit card,Normal,Electronic accessories,A,26.31
137,354-39-5160,2/18/2019,15:39,6,216.846,Cash,Member,Home and lifestyle,A,34.42
138,241-72-9525,2/16/2019,12:21,10,545.055,Cash,Normal,Sports and travel,B,51.91
139,575-30-8091,3/16/2019,19:25,8,609.0,Ewallet,Normal,Sports and travel,A,72.5
140,731-81-9469,1/23/2019,13:00,10,942.9,Credit card,Member,Sports and travel,C,89.8
141,280-17-4359,1/25/2019,13:48,10,950.25,Cash,Member,Health and beauty,C,90.5
142,338-65-2210,2/5/2019,19:57,10,720.3,Cash,Member,Health and beauty,C,68.6
143,488-25-4221,2/22/2019,10:36,1,31.9305,Credit card,Member,Food and beverages,C,30.41
144,239-10-7476,1/21/2019,16:37,6,491.085,Ewallet,Normal,Home and lifestyle,A,77.95
145,458-41-1477,3/8/2019,17:11,6,291.438,Credit card,Normal,Health and beauty,C,46.26
146,685-64-1609,2/10/2019,12:28,10,316.47,Ewallet,Member,Fashion accessories,A,30.14
147,568-90-5112,3/19/2019,12:46,4,277.788,Credit card,Normal,Health and beauty,C,66.14
148,262-47-2794,3/6/2019,15:07,8,603.624,Credit card,Member,Home and lifestyle,B,71.86
149,238-49-0436,3/27/2019,13:48,8,272.664,Credit card,Normal,Health and beauty,A,32.46
150,608-96-3517,3/23/2019,19:20,4,384.468,Credit card,Member,Fashion accessories,B,91.54
151,584-86-7256,3/11/2019,16:07,7,254.016,Credit card,Member,Sports and travel,C,34.56
152,746-94-0204,1/29/2019,11:56,9,786.618,Credit card,Normal,Fashion accessories,A,83.24
153,214-17-6927,2/7/2019,18:23,6,103.824,Ewallet,Normal,Food and beverages,C,16.48
154,400-89-4171,1/28/2019,13:05,8,680.148,Cash,Normal,Sports and travel,C,80.97
155,782-95-9291,2/20/2019,15:55,5,484.5225,Credit card,Member,Food and beverages,A,92.29
156,279-74-2924,1/4/2019,19:40,1,75.7785,Cash,Member,Electronic accessories,B,72.17
157,307-85-2293,3/7/2019,13:58,5,263.97,Ewallet,Normal,Home and lifestyle,B,50.28
158,743-04-1105,3/30/2019,14:43,9,918.729,Ewallet,Member,Health and beauty,B,97.22
159,423-57-2993,3/27/2019,19:18,6,588.357,Ewallet,Normal,Sports and travel,B,93.39
160,894-41-5205,1/19/2019,19:39,8,362.712,Credit card,Normal,Food and beverages,C,43.18
161,275-28-0149,2/25/2019,16:21,1,66.8745,Cash,Normal,Sports and travel,A,63.69
162,101-17-6199,3/13/2019,19:44,7,336.5565,Credit card,Normal,Food and beverages,A,45.79
163,423-80-0988,1/30/2019,19:42,2,160.44,Ewallet,Normal,Sports and travel,C,76.4
164,548-46-9322,2/20/2019,15:24,10,418.95,Credit card,Normal,Food and beverages,B,39.9
165,505-02-0892,2/25/2019,14:12,8,357.588,Ewallet,Member,Health and beauty,B,42.57
166,234-65-2137,1/16/2019,13:32,10,1003.59,Cash,Normal,Home and lifestyle,C,95.58
167,687-47-8271,2/8/2019,16:20,10,1039.29,Credit card,Normal,Fashion accessories,A,98.98
168,796-32-9050,1/19/2019,16:31,6,323.064,Cash,Normal,Food and beverages,A,51.28
169,105-31-1824,2/1/2019,15:10,7,510.972,Credit card,Member,Sports and travel,A,69.52
170,249-42-3782,1/3/2019,11:36,5,367.5525,Ewallet,Normal,Health and beauty,A,70.01
171,316-55-4634,1/26/2019,12:45,5,420.2625,Credit card,Member,Food and beverages,B,80.05
172,733-33-4967,3/3/2019,19:17,8,175.14,Cash,Normal,Electronic accessories,C,20.85
173,608-27-6295,1/19/2019,17:34,6,333.207,Credit card,Member,Electronic accessories,B,52.89
174,414-12-7047,1/18/2019,12:04,8,166.236,Ewallet,Normal,Food and beverages,B,19.79
175,827-26-2100,3/21/2019,16:21,9,319.788,Ewallet,Member,Home and lifestyle,A,33.84
176,175-54-2529,3/3/2019,17:01,8,186.228,Credit card,Member,Food and beverages,A,22.17
177,139-52-2867,2/13/2019,10:50,7,165.4485,Credit card,Normal,Fashion accessories,C,22.51
178,407-63-8975,3/23/2019,19:16,6,465.444,Ewallet,Normal,Food and beverages,A,73.88
179,342-65-4817,1/28/2019,16:47,3,273.42,Ewallet,Member,Health and beauty,C,86.8
180,130-98-8941,2/9/2019,10:00,7,472.311,Cash,Normal,Fashion accessories,C,64.26
181,434-83-9547,1/23/2019,11:51,8,323.148,Cash,Member,Food and beverages,C,38.47
182,851-28-6367,3/23/2019,10:55,10,162.75,Ewallet,Member,Sports and travel,A,15.5
183,824-88-3614,1/25/2019,15:00,8,288.204,Ewallet,Normal,Health and beauty,C,34.31
184,586-25-0848,3/4/2019,11:19,7,90.699,Credit card,Normal,Sports and travel,A,12.34
185,895-66-0685,3/5/2019,19:46,3,56.952,Ewallet,Member,Food and beverages,B,18.08
186,305-14-0245,3/3/2019,19:00,8,793.716,Ewallet,Member,Home and lifestyle,B,94.49
187,732-04-5373,2/8/2019,10:53,4,195.174,Cash,Member,Home and lifestyle,B,46.47
188,400-60-7251,2/10/2019,12:50,1,77.7735,Ewallet,Normal,Home and lifestyle,A,74.07
189,593-65-1552,1/28/2019,20:50,4,293.202,Credit card,Normal,Home and lifestyle,C,69.81
190,284-34-9626,2/11/2019,10:39,3,242.676,Credit card,Normal,Home and lifestyle,B,77.04
191,437-58-8131,1/15/2019,13:41,2,154.392,Ewallet,Normal,Fashion accessories,B,73.52
192,286-43-6208,3/16/2019,19:08,9,829.71,Cash,Normal,Food and beverages,C,87.8
193,641-43-2399,1/26/2019,20:23,4,107.31,Ewallet,Normal,Home and lifestyle,B,25.55
194,831-07-6050,3/19/2019,11:30,5,171.7275,Credit card,Normal,Electronic accessories,A,32.71
195,556-86-3144,1/13/2019,19:30,1,78.0045,Cash,Member,Fashion accessories,C,74.29
196,848-24-9445,3/26/2019,18:03,2,91.77,Cash,Member,Health and beauty,C,43.7
197,856-22-8149,3/23/2019,10:13,1,26.5545,Ewallet,Normal,Home and lifestyle,A,25.29
198,699-01-4164,3/12/2019,19:58,4,174.3,Credit card,Normal,Health and beauty,C,41.5
199,420-11-4919,2/17/2019,19:57,5,374.7975,Credit card,Member,Food and beverages,C,71.39
200,606-80-4905,1/29/2019,10:01,6,120.645,Credit card,Member,Sports and travel,C,19.15
201,542-41-0513,3/15/2019,11:57,4,241.458,Cash,Member,Electronic accessories,B,57.49
202,426-39-2418,1/14/2019,10:02,7,451.3635,Cash,Normal,Electronic accessories,C,61.41
203,875-46-5808,2/6/2019,14:51,10,271.95,Ewallet,Member,Health and beauty,B,25.9
204,394-43-4238,2/15/2019,12:42,5,93.2925,Credit card,Member,Home and lifestyle,B,17.77
205,749-24-1565,1/3/2019,12:02,9,217.6335,Ewallet,Normal,Health and beauty,A,23.03
206,672-51-8681,1/4/2019,18:19,9,629.8425,Credit card,Member,Electronic accessories,C,66.65
207,263-87-5680,3/18/2019,17:38,10,299.565,Ewallet,Member,Home and lifestyle,C,28.53
208,573-58-9734,3/28/2019,13:41,3,95.6655,Ewallet,Normal,Fashion accessories,B,30.37
209,817-69-8206,3/2/2019,19:42,9,942.4485,Credit card,Normal,Electronic accessories,B,99.73
210,888-02-0338,1/25/2019,20:24,9,247.8735,Ewallet,Normal,Electronic accessories,A,26.23
211,677-11-0152,1/16/2019,18:08,9,881.307,Cash,Normal,Food and beverages,C,93.26
212,142-63-6033,3/20/2019,19:17,5,484.89,Ewallet,Normal,Home and lifestyle,B,92.36
213,656-16-1063,1/4/2019,13:24,3,146.223,Credit card,Normal,Sports and travel,B,46.42
214,891-58-8335,3/11/2019,15:53,7,217.6335,Cash,Member,Sports and travel,B,29.61
215,802-43-8934,3/22/2019,15:05,1,19.194,Credit card,Normal,Home and lifestyle,A,18.28
216,560-30-5617,3/24/2019,18:27,5,130.0425,Cash,Normal,Sports and travel,B,24.77
217,319-74-2561,2/21/2019,16:55,3,298.116,Cash,Member,Electronic accessories,A,94.64
218,549-03-9315,2/12/2019,12:58,8,796.908,Ewallet,Normal,Fashion accessories,B,94.87
219,790-29-1172,3/10/2019,18:59,3,180.621,Credit card,Normal,Food and beverages,B,57.34
220,239-36-3640,1/31/2019,13:44,6,285.705,Ewallet,Normal,Electronic accessories,B,45.35
221,468-01-2051,3/6/2019,13:46,7,456.288,Ewallet,Normal,Food and beverages,B,62.08
222,389-25-3394,2/17/2019,18:06,5,62.0025,Cash,Normal,Electronic accessories,C,11.81
223,279-62-1445,2/21/2019,12:38,1,13.167,Cash,Member,Fashion accessories,C,12.54
224,213-72-6612,3/20/2019,15:56,2,90.825,Cash,Normal,Food and beverages,A,43.25
225,746-68-6593,1/11/2019,14:29,2,183.036,Credit card,Member,Sports and travel,C,87.16
226,836-82-5858,1/26/2019,19:14,9,655.5465,Ewallet,Member,Health and beauty,B,69.37
227,583-72-1480,1/31/2019,16:24,4,155.652,Ewallet,Member,Electronic accessories,C,37.06
228,466-61-5506,2/26/2019,10:52,6,571.41,Cash,Member,Electronic accessories,B,90.7
229,721-86-6247,3/11/2019,12:55,8,532.728,Ewallet,Normal,Home and lifestyle,A,63.42
230,289-65-5721,1/26/2019,19:28,2,170.877,Cash,Normal,Fashion accessories,B,81.37
231,545-46-3100,3/12/2019,13:52,3,33.3585,Credit card,Member,Electronic accessories,B,10.59
232,418-02-5978,2/11/2019,10:54,9,794.6505,Cash,Normal,Health and beauty,B,84.09
233,269-04-5750,2/21/2019,18:31,4,310.044,Cash,Member,Fashion accessories,B,73.82
234,157-13-5295,3/9/2019,18:24,10,545.37,Ewallet,Member,Health and beauty,A,51.94
235,645-78-8093,1/20/2019,18:09,2,195.594,Ewallet,Normal,Sports and travel,A,93.14
236,211-30-9270,1/28/2019,15:16,5,91.4025,Credit card,Normal,Health and beauty,C,17.41
237,755-12-3214,3/5/2019,17:07,5,232.155,Credit card,Member,Fashion accessories,C,44.22
238,346-84-3103,3/2/2019,19:26,5,69.405,Cash,Member,Electronic accessories,B,13.22
239,478-06-7835,1/11/2019,11:20,1,94.1745,Ewallet,Normal,Fashion accessories,A,89.69
240,540-11-4336,1/11/2019,16:49,9,235.683,Credit card,Normal,Food and beverages,A,24.94
241,448-81-5016,3/11/2019,12:01,2,125.517,Credit card,Normal,Health and beauty,A,59.77
242,142-72-4741,2/28/2019,18:37,2,195.72,Credit card,Member,Fashion accessories,C,93.2
243,217-58-1179,1/5/2019,11:25,4,263.13,Cash,Member,Home and lifestyle,A,62.65
244,376-02-8238,2/2/2019,18:42,8,788.508,Credit card,Normal,Home and lifestyle,B,93.87
245,530-90-9855,1/1/2019,14:47,8,399.756,Cash,Member,Home and lifestyle,A,47.59
246,866-05-7563,2/9/2019,19:43,3,256.41,Cash,Member,Electronic accessories,B,81.4
247,604-70-6476,1/23/2019,14:04,5,94.185,Ewallet,Member,Fashion accessories,A,17.94
248,799-71-1548,1/7/2019,16:11,4,326.424,Credit card,Member,Electronic accessories,A,77.72
249,785-13-7708,1/14/2019,19:06,7,536.991,Credit card,Normal,Food and beverages,B,73.06
250,845-51-0542,2/2/2019,15:34,9,439.8975,Ewallet,Member,Food and beverages,B,46.55
251,662-47-5456,3/17/2019,19:06,10,369.495,Credit card,Member,Fashion accessories,C,35.19
252,883-17-4236,3/2/2019,19:44,2,30.219,Credit card,Normal,Sports and travel,C,14.39
253,290-68-2984,3/16/2019,11:22,4,99.75,Cash,Normal,Home and lifestyle,A,23.75
254,704-11-6354,1/6/2019,11:23,8,494.76,Cash,Member,Home and lifestyle,A,58.9
255,110-48-7033,1/29/2019,14:12,4,137.004,Cash,Member,Fashion accessories,B,32.62
256,366-93-0948,1/31/2019,10:46,1,69.6675,Credit card,Member,Electronic accessories,A,66.35
257,729-09-9681,2/5/2019,10:16,6,163.233,Ewallet,Member,Home and lifestyle,A,25.91
258,151-16-1484,2/13/2019,12:38,4,135.45,Ewallet,Member,Electronic accessories,A,32.25
259,380-94-4661,2/7/2019,13:05,4,276.948,Credit card,Member,Electronic accessories,C,65.94
260,850-41-9669,3/19/2019,13:25,9,709.317,Ewallet,Normal,Electronic accessories,A,75.06
261,821-07-3596,3/7/2019,14:53,4,69.09,Ewallet,Normal,Fashion accessories,C,16.45
262,655-85-5130,3/13/2019,19:22,4,160.86,Cash,Member,Fashion accessories,B,38.3
263,447-15-7839,2/9/2019,11:00,10,233.52,Cash,Member,Sports and travel,A,22.24
264,154-74-7179,2/26/2019,19:24,1,57.1725,Ewallet,Normal,Sports and travel,B,54.45
265,253-12-6086,3/12/2019,12:43,7,723.24,Credit card,Member,Sports and travel,A,98.4
266,808-65-0703,3/14/2019,17:22,4,148.974,Credit card,Normal,Home and lifestyle,C,35.47
267,571-94-0759,1/8/2019,20:55,10,783.3,Cash,Member,Food and beverages,B,74.6
268,144-51-6085,1/5/2019,16:05,4,297.108,Credit card,Member,Home and lifestyle,A,70.74
269,731-14-2199,1/4/2019,13:34,10,373.17,Ewallet,Member,Home and lifestyle,A,35.54
270,783-09-1637,3/6/2019,18:13,5,354.0075,Ewallet,Normal,Sports and travel,B,67.43
271,687-15-1097,1/3/2019,19:17,2,44.352,Cash,Member,Health and beauty,C,21.12
272,126-54-1082,1/7/2019,11:44,9,203.553,Credit card,Member,Home and lifestyle,A,21.54
273,633-91-1052,1/27/2019,15:51,2,25.263,Cash,Normal,Home and lifestyle,A,12.03
274,477-24-6490,2/26/2019,16:52,6,628.173,Ewallet,Normal,Health and beauty,B,99.71
275,566-19-5475,1/7/2019,20:52,7,352.5795,Cash,Normal,Fashion accessories,B,47.97
276,526-86-8552,1/7/2019,17:36,10,229.11,Cash,Member,Home and lifestyle,C,21.82
277,376-56-3573,2/2/2019,13:23,4,400.764,Ewallet,Normal,Fashion accessories,C,95.42
278,537-72-0426,3/20/2019,16:28,10,745.395,Cash,Member,Fashion accessories,C,70.99
279,828-61-5674,3/20/2019,19:57,10,462.21,Credit card,Member,Sports and travel,A,44.02
280,136-08-6195,2/15/2019,17:01,8,587.664,Credit card,Normal,Home and lifestyle,A,69.96
281,523-38-0215,3/6/2019,13:29,1,38.85,Credit card,Normal,Home and lifestyle,C,37.0
282,490-29-1201,1/6/2019,11:09,1,16.107,Cash,Normal,Sports and travel,A,15.34
283,667-92-0055,3/4/2019,15:02,6,628.929,Ewallet,Member,Health and beauty,A,99.83
284,565-17-3836,3/12/2019,14:21,4,200.214,Cash,Member,Health and beauty,A,47.67
285,498-41-1961,2/20/2019,18:01,5,350.07,Cash,Normal,Health and beauty,B,66.68
286,593-95-4461,3/24/2019,14:49,1,78.603,Cash,Member,Home and lifestyle,C,74.86
